order_month,net_amount
2024-08,2168617.67
2024-09,2048392.22
2024-10,3782039.25
2024-11,3664019.11
2024-12,2311221.19
2025-01,2963936.02
2025-02,1599555.32
2025-03,1919701.72
2025-04,1727035.97
2025-05,2153476.7399999998
2025-06,1883856.01
2025-07,1874242.58
2025-08,2364620.22
2025-09,2314421.01
2025-10,4751251.64
2025-11,3628283.39
2025-12,2572052.57
2026-01,3179337.98
2026-02,2197532.47
2026-03,2087265.03
2026-04,2079499.48
2026-05,2277750.63
2026-06,1848837.84
2026-07,1863073.65
